"id","topic_id","step","result"
"2ee3c8a0-15f1-4b76-9dbb-9fe9031bb650","e8fccc09-a2c9-4076-a001-ad1c2378a23f","locked","ok"
"e5a407fb-91dd-4b50-889d-db5a5d8936a0","748e1177-b18b-4e5a-9698-9aa51b57a50b","reviewed","ok"
"e5a407fb-91dd-4b50-889d-db5a5d8936a0","748e1177-b18b-4e5a-9698-9aa51b57a50b","locked","ok"
"75c845c7-7f54-422b-86c8-1bff33f2729a","4fb4c478-d456-4d9d-ad58-08af61c9025d","reviewed","ok"
"75c845c7-7f54-422b-86c8-1bff33f2729a","4fb4c478-d456-4d9d-ad58-08af61c9025d","locked","ok"
"90c06b7e-220c-4003-8b6a-69d049bd29b1","beb3ca2b-9796-4686-89bd-e643ebb270b1","reviewed","ok"
"90c06b7e-220c-4003-8b6a-69d049bd29b1","beb3ca2b-9796-4686-89bd-e643ebb270b1","locked","ok"
"c4a2b63a-dee9-42d2-a398-0310d01f914a","1645100c-e158-44af-aebb-a4153dcbd931","reviewed","ok"
"c4a2b63a-dee9-42d2-a398-0310d01f914a","1645100c-e158-44af-aebb-a4153dcbd931","locked","ok"
"73c9dbf0-2457-4bbc-b80b-3ff6c1c5687e","3ab068c5-397c-4189-913f-0d26569b3899","reviewed","ok"
"73c9dbf0-2457-4bbc-b80b-3ff6c1c5687e","3ab068c5-397c-4189-913f-0d26569b3899","locked","ok"
"a8180e29-a8e1-48bf-a8c3-669f6c0b9065","35a95c33-0e7a-43fc-8ed3-1b79a7609209","reviewed","ok"
"a8180e29-a8e1-48bf-a8c3-669f6c0b9065","35a95c33-0e7a-43fc-8ed3-1b79a7609209","locked","ok"
"c5bbd67b-508c-4b56-be8e-63f668c5de96","65c6b4bb-b6fc-4351-a9ea-e09a179d12da","reviewed","ok"
"c5bbd67b-508c-4b56-be8e-63f668c5de96","65c6b4bb-b6fc-4351-a9ea-e09a179d12da","locked","ok"
"8924802e-b3cd-4b46-9b62-7a4756a7d7dd","fc3e9289-0478-4a6c-a0e8-1f6f3f79f82a","reviewed","ok"
"8924802e-b3cd-4b46-9b62-7a4756a7d7dd","fc3e9289-0478-4a6c-a0e8-1f6f3f79f82a","locked","ok"
"cb91d80e-1dad-4645-aba6-1a880ccb9c02","ff082708-c649-46b6-980f-4a66363e6eab","reviewed","ok"
"cb91d80e-1dad-4645-aba6-1a880ccb9c02","ff082708-c649-46b6-980f-4a66363e6eab","locked","ok"
