file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,matched_year,matched_qno,ocr_derived
UPSCCSEMains2014ALL.json,2014,GS2,31,11,31,126,unverifiable,54.8,2025,5,false
UPSCCSEMains2014ALL.json,2014,GS2,32,12,32,125,unverifiable,53.2,2022,7,false
UPSCCSEMains2014ALL.json,2014,GS2,33,13,33,139,unverifiable,56.9,2025,12,false
UPSCCSEMains2014ALL.json,2014,GS2,34,14,34,117,unverifiable,59.0,2025,15,false
UPSCCSEMains2014ALL.json,2014,GS2,35,15,35,138,unverifiable,51.5,2022,8,false
UPSCCSEMains2014ALL.json,2014,GS2,36,16,36,109,unverifiable,60.2,2025,19,false
UPSCCSEMains2014ALL.json,2014,GS2,37,17,37,136,unverifiable,51.1,2022,1,false
UPSCCSEMains2014ALL.json,2014,GS2,38,18,38,124,unverifiable,56.3,2022,10,false
UPSCCSEMains2014ALL.json,2014,GS2,39,19,39,122,unverifiable,57.1,2025,12,false
UPSCCSEMains2014ALL.json,2014,GS2,40,20,40,149,unverifiable,52.7,2022,1,false
UPSCCSEMains2014ALL.json,2014,GS3,41,1,41,111,unverifiable,51.9,2015,10,false
UPSCCSEMains2014ALL.json,2014,GS3,42,2,42,116,unverifiable,54.0,2025,11,false
UPSCCSEMains2014ALL.json,2014,GS3,43,3,43,120,unverifiable,55.6,2025,19,false
UPSCCSEMains2014ALL.json,2014,GS3,44,4,44,122,unverifiable,55.5,2025,15,false
UPSCCSEMains2014ALL.json,2014,GS3,45,5,45,144,unverifiable,61.3,2015,6,false
UPSCCSEMains2014ALL.json,2014,GS3,46,6,46,127,unverifiable,55.7,2022,16,false
UPSCCSEMains2014ALL.json,2014,GS3,47,7,47,134,unverifiable,55.4,2025,15,false
UPSCCSEMains2014ALL.json,2014,GS3,48,8,48,110,unverifiable,64.9,2024,6,false
UPSCCSEMains2014ALL.json,2014,GS3,49,9,49,111,unverifiable,57.3,2022,10,false
UPSCCSEMains2014ALL.json,2014,GS3,50,10,50,115,unverifiable,54.0,2022,13,false
UPSCCSEMains2014ALL.json,2014,GS3,51,11,51,154,unverifiable,52.4,2025,12,false
UPSCCSEMains2014ALL.json,2014,GS3,52,12,52,133,unverifiable,55.0,2025,10,false
UPSCCSEMains2014ALL.json,2014,GS3,53,13,53,135,unverifiable,52.6,2025,19,false
UPSCCSEMains2014ALL.json,2014,GS3,54,14,54,145,unverifiable,56.6,2022,3,false
UPSCCSEMains2014ALL.json,2014,GS3,55,15,55,139,unverifiable,50.0,2025,5,false
UPSCCSEMains2014ALL.json,2014,GS3,56,16,56,120,unverifiable,52.0,2025,15,false
UPSCCSEMains2014ALL.json,2014,GS3,57,17,57,133,unverifiable,53.7,2025,6,false
UPSCCSEMains2014ALL.json,2014,GS3,58,18,58,137,unverifiable,80.0,2025,10,false
UPSCCSEMains2014ALL.json,2014,GS3,59,19,59,133,unverifiable,54.5,2025,11,false
UPSCCSEMains2014ALL.json,2014,GS3,60,20,60,140,unverifiable,52.2,2015,18,false
UPSCCSEMains2014ALL.json,2014,GS4,61,1,61,112,unverifiable,52.3,2022,2,false
UPSCCSEMains2014ALL.json,2014,GS4,62,1,61,138,unverifiable,55.0,2025,11,false
UPSCCSEMains2014ALL.json,2014,GS4,63,2,62,110,unverifiable,53.7,2022,7,false
UPSCCSEMains2014ALL.json,2014,GS4,64,2,62,115,unverifiable,56.6,2022,1,false
UPSCCSEMains2014ALL.json,2014,GS4,65,3,63,199,unverifiable,50.0,2025,9,false
UPSCCSEMains2014ALL.json,2014,GS4,66,3,63,110,unverifiable,52.8,2015,14,false
UPSCCSEMains2014ALL.json,2014,GS4,67,4,64,103,unverifiable,50.5,2025,1,false
UPSCCSEMains2014ALL.json,2014,GS4,68,4,64,144,unverifiable,51.7,2025,7,false
UPSCCSEMains2014ALL.json,2014,GS4,69,5,65,157,unverifiable,52.0,2025,5,false
UPSCCSEMains2014ALL.json,2014,GS4,70,5,65,135,unverifiable,50.0,2025,14,false
UPSCCSEMains2014ALL.json,2014,GS4,71,6,66,111,unverifiable,63.3,2025,9,false
UPSCCSEMains2014ALL.json,2014,GS4,72,7,67,118,unverifiable,50.9,2022,12,false
UPSCCSEMains2014ALL.json,2014,GS4,73,8,68,1347,unverifiable,60.0,2025,2,false
UPSCCSEMains2014ALL.json,2014,GS4,74,9,69,1410,unverifiable,55.6,2025,9,false
UPSCCSEMains2014ALL.json,2014,GS4,75,10,70,1507,unverifiable,52.5,2025,10,false
UPSCCSEMains2014ALL.json,2014,GS4,76,11,71,1306,unverifiable,62.5,2025,1,false
UPSCCSEMains2014ALL.json,2014,GS4,77,12,72,1574,unverifiable,51.9,2025,14,false
UPSCCSEMains2014ALL.json,2014,GS4,78,13,73,1324,unverifiable,56.8,2025,8,false
UPSCCSEMains2014GS1.json,2014,GS1,1,1,1,140,unverifiable,53.6,2022,7,false
UPSCCSEMains2014GS1.json,2014,GS1,2,2,2,72,unverifiable,52.9,2022,1,false
UPSCCSEMains2014GS1.json,2014,GS1,3,3,3,210,unverifiable,50.6,2025,5,false
UPSCCSEMains2014GS1.json,2014,GS1,4,4,4,106,unverifiable,50.0,2025,11,false
UPSCCSEMains2014GS1.json,2014,GS1,5,5,5,172,unverifiable,49.4,2022,2,false
UPSCCSEMains2014GS1.json,2014,GS1,6,6,6,142,unverifiable,53.9,2022,2,false
UPSCCSEMains2014GS1.json,2014,GS1,7,7,7,116,unverifiable,53.0,2015,,false
UPSCCSEMains2014GS1.json,2014,GS1,8,8,8,101,unverifiable,57.1,2022,13,false
UPSCCSEMains2014GS1.json,2014,GS1,9,9,9,101,unverifiable,55.0,2022,11,false
UPSCCSEMains2014GS1.json,2014,GS1,10,10,10,90,unverifiable,54.1,2025,9,false
UPSCCSEMains2014GS1.json,2014,GS1,11,11,11,92,unverifiable,51.6,2022,10,false
UPSCCSEMains2014GS1.json,2014,GS1,12,12,12,110,unverifiable,53.7,2015,2,false
UPSCCSEMains2014GS1.json,2014,GS1,13,13,13,83,unverifiable,54.9,2022,20,false
