file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2014ALL.json,2014,GS2,27,7,27,108,orphan,51.4,true
UPSCCSEMains2014ALL.json,2014,GS2,28,8,28,128,orphan,50.8,true
UPSCCSEMains2014ALL.json,2014,GS2,29,9,29,120,orphan,53.0,true
UPSCCSEMains2014ALL.json,2014,GS2,30,10,30,112,orphan,51.4,true
UPSCCSEMains2014ALL.json,2014,GS2,31,11,31,126,orphan,50.8,true
UPSCCSEMains2014ALL.json,2014,GS2,32,12,32,125,orphan,54.0,true
UPSCCSEMains2014ALL.json,2014,GS2,33,13,33,139,orphan,50.4,true
UPSCCSEMains2014ALL.json,2014,GS2,34,14,34,117,orphan,50.0,true
UPSCCSEMains2014ALL.json,2014,GS2,35,15,35,138,orphan,50.7,true
UPSCCSEMains2014ALL.json,2014,GS2,36,16,36,109,orphan,50.9,true
UPSCCSEMains2014ALL.json,2014,GS2,37,17,37,136,orphan,51.9,true
UPSCCSEMains2014ALL.json,2014,GS2,38,18,38,124,orphan,50.4,true
UPSCCSEMains2014ALL.json,2014,GS2,39,19,39,122,orphan,47.1,true
UPSCCSEMains2014ALL.json,2014,GS2,40,20,40,149,orphan,47.9,true
UPSCCSEMains2014ALL.json,2014,GS3,41,1,41,111,orphan,50.0,true
UPSCCSEMains2014ALL.json,2014,GS3,42,2,42,116,orphan,51.3,true
UPSCCSEMains2014ALL.json,2014,GS3,43,3,43,120,orphan,57.6,true
UPSCCSEMains2014ALL.json,2014,GS3,44,4,44,122,orphan,48.7,true
UPSCCSEMains2014ALL.json,2014,GS3,45,5,45,144,orphan,54.9,true
UPSCCSEMains2014ALL.json,2014,GS3,46,6,46,127,orphan,50.4,true
UPSCCSEMains2014ALL.json,2014,GS3,47,7,47,134,orphan,55.4,true
UPSCCSEMains2014ALL.json,2014,GS3,48,8,48,110,orphan,51.4,true
UPSCCSEMains2014ALL.json,2014,GS3,49,9,49,111,orphan,50.9,true
UPSCCSEMains2014ALL.json,2014,GS3,50,10,50,115,orphan,48.7,true
UPSCCSEMains2014ALL.json,2014,GS3,51,11,51,154,orphan,55.3,true
UPSCCSEMains2014ALL.json,2014,GS3,52,12,52,133,orphan,45.7,true
UPSCCSEMains2014ALL.json,2014,GS3,53,13,53,135,orphan,51.9,true
UPSCCSEMains2014ALL.json,2014,GS3,54,14,54,145,orphan,47.2,true
UPSCCSEMains2014ALL.json,2014,GS3,55,15,55,139,orphan,47.4,true
UPSCCSEMains2014ALL.json,2014,GS3,56,16,56,120,orphan,52.5,true
UPSCCSEMains2014ALL.json,2014,GS3,57,17,57,133,orphan,51.1,true
UPSCCSEMains2014ALL.json,2014,GS3,58,18,58,137,orphan,54.1,true
UPSCCSEMains2014ALL.json,2014,GS3,59,19,59,133,orphan,45.4,true
UPSCCSEMains2014ALL.json,2014,GS3,60,20,60,140,orphan,51.4,true
UPSCCSEMains2014ALL.json,2014,GS4,61,1,61,112,orphan,79.8,true
UPSCCSEMains2014ALL.json,2014,GS4,62,1,61,138,orphan,55.0,true
UPSCCSEMains2014ALL.json,2014,GS4,63,2,62,110,orphan,51.9,true
UPSCCSEMains2014ALL.json,2014,GS4,64,2,62,115,orphan,47.8,true
UPSCCSEMains2014ALL.json,2014,GS4,65,3,63,199,orphan,47.4,true
UPSCCSEMains2014ALL.json,2014,GS4,66,3,63,110,orphan,50.9,true
UPSCCSEMains2014ALL.json,2014,GS4,67,4,64,103,orphan,48.5,true
UPSCCSEMains2014ALL.json,2014,GS4,68,4,64,144,orphan,50.7,true
UPSCCSEMains2014ALL.json,2014,GS4,69,5,65,157,orphan,48.0,true
UPSCCSEMains2014ALL.json,2014,GS4,70,5,65,135,orphan,48.4,true
UPSCCSEMains2014ALL.json,2014,GS4,71,6,66,111,orphan,51.4,true
UPSCCSEMains2014ALL.json,2014,GS4,72,7,67,118,orphan,48.3,true
UPSCCSEMains2014ALL.json,2014,GS4,73,8,68,1347,orphan,45.2,true
UPSCCSEMains2014ALL.json,2014,GS4,74,9,69,1410,orphan,44.9,true
UPSCCSEMains2014ALL.json,2014,GS4,75,10,70,1507,orphan,45.1,true
UPSCCSEMains2014ALL.json,2014,GS4,76,11,71,1306,orphan,45.8,true
UPSCCSEMains2014ALL.json,2014,GS4,77,12,72,1574,orphan,45.1,true
UPSCCSEMains2014ALL.json,2014,GS4,78,13,73,1324,orphan,45.2,true
UPSCCSEMains2014GS1.json,2014,GS1,1,1,1,140,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,2,2,2,72,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,3,3,3,210,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,4,4,4,106,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,5,5,5,172,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,6,6,6,142,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,7,7,7,116,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,8,8,8,101,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,9,9,9,101,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,10,10,10,90,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,11,11,11,92,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,12,12,12,110,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,13,13,13,83,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,14,14,14,117,unverifiable,,true
